CAMPAIGN_COUNT,CONTROL_HITS,CONTROL_MISSES,CONTROL_PERCENT,CONTROL_POPULATION,CREATIVE_FORMAT_TYPES,DELTA,EXPOSED_HITS,EXPOSED_MISSES,EXPOSED_PERCENT,EXPOSED_POPULATION,LIFT,METRIC_ID,METRIC_NAME,SIGNIFICANCE_LEVEL,FILTER_ID,FILTER_NAME,GROUP_NAME
1,0,0,0,0,,0,0,0,0,0,0,955548,BA: Makes my life easier,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955550,BA: Is a brand I trust,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955555,BA MDS: Meets needs,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955557,BA MDS: Sets trends,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955560,DashPass Worth,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955562,DashPass Benefits: Consistently adds valuable perks and benefits for members,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955564,DashPass Benefits: Save more than other delivery subscription services,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955566,DashPass Benefits Awareness: $0 delivery fees on eligible orders,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955568,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955571,DashPass Benefits Awareness: Discounted rides with Lyft,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955925,More than Restaurant Aided Awareness: Fresh Food & Produce,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955937,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955939,More than Restaurant Aided Awareness: Household Essentials,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955941,More than Restaurant Aided Awareness: Baby Supplies,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
1,0,0,0,0,,0,0,0,0,0,0,955942,More than Restaurant Aided Awareness: Pet Supplies,0,24968945,Creative:  Placement Publisher - Activision Blizzard,Creative
